brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price
Mazda,CX-9 Touring,2022,6580,2.5L I4 16V GDI DOHC Turbo,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,Black,Snowflake White Pearl,36789
Alfa,Romeo Stelvio 4DR SUV AWD,2018,62717,Twin Turbo Premium Unleaded V-6 2.9 L/176,2.9,Automatic,1,Gasoline,Four-wheel Drive,,,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,Black,Rosso Competizione Tri-Coat,39993
Chevrolet,Silverado 1500 Limited LT,2022,15463,5.3L V8 16V GDI OHV,5.3,Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Jet Black,Silver Ice Metallic,46986
Land,Rover Range Rover P400 SE,2022,1281,3.0L I6 24V GDI DOHC Turbo,3,Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,Ebony,Fuji White,141999
Mitsubishi,Outlander Sport 2.0 SE,2021,36727,2.0L I4 16V MPFI DOHC,2,Automatic CVT,1,Gasoline,Front-wheel Drive,,,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,Black,White,21595
FIAT,500 Sport,2012,83908,1.4L I4 16V MPFI SOHC,1.4,,0,Gasoline,Front-wheel Drive,30,38,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Black,Giallo (Yellow),9400
Kia,Carnival LXS,2022,43705,3.5L V6 24V PDI DOHC,3.5,8-Speed Automatic,1,Gasoline,Front-wheel Drive,,,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,Gray,Silky Silver,34000
Audi,SQ5 3.0T Premium,2022,5922,3.0L V6 24V GDI DOHC Turbo,3,Automatic,1,Gasoline,Four-wheel Drive,,,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,Black,Florett Silver Metallic,49495
Honda,Pilot Special Edition,2021,51299,3.5L V6 24V GDI SOHC,3.5,9-Speed Automatic,1,Gasoline,Four-wheel Drive,19,26,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,Black,Modern Steel Metallic,35999
Jeep,Grand Cherokee Altitude,2019,36120,3.6L V6 24V MPFI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,Black,Granite Crystal Clearcoat Metallic,33995
Mercedes-Benz,GL-Class GL 450 4MATIC,2014,79279,4.7L V8 32V GDI DOHC Twin Turbo,4.7,7-Speed Automatic,1,Gasoline,Four-wheel Drive,21,28,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,Black,Obsidian Black Metallic,22349
Mitsubishi,Outlander Sport SE,2021,31976,2.0L I4 16V MPFI DOHC,2,Automatic CVT,1,Gasoline,Four-wheel Drive,24,31,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Gray,Silver,19499
Porsche,968,1994,92025,3.0L I4 16V MPFI DOHC,3,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,10,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Saddle,White,12960
MINI,Hardtop Cooper,2016,43418,1.5L I3 12V GDI DOHC Turbo,1.5,6-Speed Automatic,1,Gasoline,Front-wheel Drive,21,31,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,Carbon Black,Electric Blue Metallic,16500
Land,Rover Range Rover Velar S,2020,23358,I4,,Automatic,1,Gasoline,Four-wheel Drive,20,25,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,Light Oyster / Ebony,Santorini Black,46477
Land,Rover Range Rover Sport Supercharged HSE,2016,57361,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20,26,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,Almond / Espresso / Ivory,Fuji White,33695
